AptID;RwyID;ACCat;AppTyp;RwyDir;DH;RVR;AppClassification;AppGuidance;AppSystemMinima;AppPrecisionTyp
LTAC;21L ;D;LOCX ;210;842;2400;Type A;2D;1;NPA
LTAC;21L ;C;LOCZ ;210;842;2400;Type A;2D;1;NPA
LTAC;21L ;C;CIRC ;210;1492;2400;Type A;2D;4;NPA
LTAC;21L ;D;CIRC ;210;1492;3600;Type A;2D;4;NPA
LTAC;21R ;D;ILSZ ;210;214;550;Type B;3D;0;PA
LTAC;21R ;C;ILSZ ;210;214;550;Type B;3D;0;PA
LTAC;21R ;D;ALTN ;210;314;850;NULL;NULL;NULL;NULL
LTAC;21R ;C;ALTN ;210;314;850;NULL;NULL;NULL;NULL
LTAC;21R ;C;LOCZ ;211;476;1500;Type A;2D;1;NPA
LTAC;21R ;D;LOCZ ;211;476;1500;Type A;2D;1;NPA
LTAC;21R ;D;NDBZ ;210;586;2000;Type A;2D;3;NPA
LTAC;21R ;D;VORY ;210;586;2000;Type A;2D;2;NPA
LTAC;21R ;D;VORZ ;210;586;2000;Type A;2D;2;NPA
LTAC;21R ;C;NDBZ ;210;586;2000;Type A;2D;3;NPA
LTAC;21R ;C;VORY ;210;586;2000;Type A;2D;2;NPA
LTAC;21R ;C;VORZ ;210;586;2000;Type A;2D;2;NPA
LTAC;21R ;C;CIRC ;210;1492;2400;Type A;2D;4;NPA
LTAC;21R ;D;CIRC ;210;1492;3600;Type A;2D;4;NPA
LTAC;ALL ;C;ETOPS;0;414;1350;NULL;NULL;NULL;NULL
LTAC;ALL ;D;ETOPS;0;414;1350;NULL;NULL;NULL;NULL
LTAD;11L ;C;CIRC ;107;1447;5000;Type A;2D;4;NPA
LTAD;11L ;D;CIRC ;107;1447;5000;Type A;2D;4;NPA
LTAD;11R ;C;CIRC ;107;1447;5000;Type A;2D;4;NPA
LTAD;11R ;D;CIRC ;107;1447;5000;Type A;2D;4;NPA
LTAD;29L ;C;CIRC ;287;1447;5000;Type A;2D;4;NPA
LTAD;29L ;D;CIRC ;287;1447;5000;Type A;2D;4;NPA
LTAD;29R ;C;CIRC ;287;1447;5000;Type A;2D;4;NPA
LTAD;29R ;D;CIRC ;287;1447;5000;Type A;2D;4;NPA
LTAD;ALL ;C;ETOPS;0;1847;6500;NULL;NULL;NULL;NULL
LTAD;ALL ;D;ETOPS;0;1847;6500;NULL;NULL;NULL;NULL
LTAE;3;D;ILSY ;27;200;800;Type B;3D;0;PA
LTAE;3;D;ILSZ ;27;200;800;Type B;3D;0;PA
LTAE;3;C;ILSY ;27;200;800;Type B;3D;0;PA
LTAE;3;C;ILSZ ;27;200;800;Type B;3D;0;PA
LTAE;3;C;LOCZ ;27;345;800;Type A;2D;1;NPA
LTAE;3;D;LOCY ;27;345;1200;Type A;2D;1;NPA
LTAE;3;D;LOCZ ;27;345;1200;Type A;2D;1;NPA
LTAE;3;C;LOCY ;27;345;1200;Type A;2D;1;NPA
LTAE;3;D;RNAV ;27;371;1200;Type A;2D;1;NPA
LTAE;3;C;RNAV ;27;371;1200;Type A;2D;1;NPA
LTAE;3;C;ALTN ;27;350;1250;NULL;NULL;NULL;NULL
LTAE;3;D;ALTN ;27;350;1250;NULL;NULL;NULL;NULL
LTAE;3;C;CIRC ;27;853;4000;Type A;2D;4;NPA
LTAE;3;D;CIRC ;27;1223;4800;Type A;2D;4;NPA
LTAE;ALL ;C;ETOPS;0;400;1600;NULL;NULL;NULL;NULL
LTAE;ALL ;D;ETOPS;0;400;1600;NULL;NULL;NULL;NULL
LTAF;5;D;ILSX ;48;252;600;Type A;3D;0;PA
LTAF;5;C;ILSX ;48;252;600;Type A;3D;0;PA
LTAF;5;C;ALTN ;48;452;1400;NULL;NULL;NULL;NULL
LTAF;5;D;ALTN ;48;452;1400;NULL;NULL;NULL;NULL
LTAF;5;C;NDBZ ;48;478;1500;Type A;2D;3;NPA
LTAF;5;C;VORX ;48;478;1500;Type A;2D;2;NPA
LTAF;5;C;VORY ;48;478;1500;Type A;2D;2;NPA
LTAF;5;D;NDBZ ;48;478;1500;Type A;2D;3;NPA
LTAF;5;D;VORX ;48;478;1500;Type A;2D;2;NPA
LTAF;5;D;VORY ;48;478;1500;Type A;2D;2;NPA
LTAF;5;C;LOCX ;48;478;1500;Type A;2D;1;NPA
LTAF;5;D;LOCX ;48;478;1500;Type A;2D;1;NPA
LTAF;5;C;CIRC ;48;1137;2400;Type A;2D;4;NPA
LTAF;5;C;VORZ ;48;1148;2400;Type A;2D;2;NPA
LTAF;5;D;VORZ ;48;1148;2400;Type A;2D;2;NPA
